# Au,Cu,Pd,P_NO=1,H,NO_NH3,NO_CN,CO_NO_pairs,P_NO=0.1,H,NO_NH3,NO_CN,CO_NO_pairs
0.05,0.0,0.9500000000000001,,0.9927,0.0014,0.0,0.0,,0.9934,0.0,0.0,0.0
0.0,1.0,0.0,,0.0,0.973,0.0,0.0,,0.0,0.0899,0.2058,0.2973
0.0,0.9500000000000001,0.05,,0.0071,0.9514,0.0016,0.0016,,0.0081,0.0723,0.1917,0.2833
0.0,0.9,0.1,,0.0305,0.9239,0.0036,0.0036,,0.0255,0.064,0.1866,0.2768
0.0,0.8500000000000001,0.15000000000000002,,0.0589,0.893,0.006,0.0062,,0.0637,0.0748,0.1745,0.2522
0.0,0.8,0.2,,0.1025,0.847,0.0077,0.0077,,0.0993,0.0804,0.1595,0.2218
0.0,0.75,0.25,,0.1579,0.7918,0.009,0.009,,0.1518,0.0856,0.1461,0.1947
0.0,0.7000000000000001,0.30000000000000004,,0.2203,0.7415,0.0093,0.0093,,0.2244,0.0612,0.103,0.1409
0.0,0.65,0.35000000000000003,,0.2843,0.6809,0.0081,0.0081,,0.279,0.1269,0.1101,0.1372
0.0,0.6000000000000001,0.4,,0.3612,0.6023,0.0088,0.0088,,0.3491,0.1736,0.0843,0.0983
0.0,0.55,0.45,,0.4195,0.5443,0.0088,0.0088,,0.4259,0.1242,0.0587,0.0692
0.0,0.5,0.5,,0.5052,0.4652,0.0077,0.0077,,0.5149,0.1346,0.0411,0.0455
0.0,0.45,0.55,,0.5764,0.3976,0.0057,0.0057,,0.5744,0.2336,0.0291,0.0309
0.0,0.4,0.6000000000000001,,0.6506,0.3342,0.0028,0.0028,,0.6424,0.1977,0.0189,0.0194
0.0,0.35000000000000003,0.65,,0.7198,0.2645,0.003,0.003,,0.7112,0.1464,0.0119,0.0122
0.0,0.30000000000000004,0.7000000000000001,,0.7772,0.2041,0.0018,0.0018,,0.7865,0.1019,0.0047,0.0049
0.0,0.25,0.75,,0.8423,0.1488,0.0008,0.0008,,0.8468,0.0826,0.0033,0.0034
0.0,0.2,0.8,,0.8971,0.0932,0.0002,0.0002,,0.8939,0.0288,0.0012,0.0012
0.0,0.15000000000000002,0.8500000000000001,,0.936,0.0542,0.0,0.0,,0.9406,0.0045,0.0,0.0
0.0,0.1,0.9,,0.9696,0.0248,0.0,0.0,,0.9713,0.0005,0.0,0.0
0.0,0.05,0.9500000000000001,,0.9923,0.0002,0.0,0.0,,0.9937,0.0001,0.0,0.0
0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0
