# Ag,Au,Cu,Pd,Pt,CN selectivity
0.14,0.53,0.19,0.14,0.00,0.2043
0.14,0.53,0.19,0.14,0.00,0.2046
0.14,0.53,0.19,0.14,0.00,0.2029
0.14,0.53,0.19,0.14,0.00,0.1969
0.14,0.53,0.19,0.14,0.00,0.2049
0.14,0.53,0.19,0.14,0.00,0.1975
0.14,0.53,0.19,0.14,0.00,0.2037
0.15,0.52,0.19,0.13,0.00,0.1985
0.15,0.52,0.19,0.13,0.00,0.2032
0.15,0.52,0.19,0.13,0.00,0.2079
0.15,0.52,0.19,0.13,0.00,0.2048
0.15,0.52,0.19,0.13,0.00,0.2002
0.55,0.19,0.26,0.01,0.00,0.1074
0.16,0.52,0.19,0.12,0.00,0.2123
0.16,0.52,0.19,0.12,0.00,0.1903
0.15,0.52,0.19,0.13,0.00,0.1967
0.15,0.52,0.19,0.13,0.00,0.2081
0.15,0.52,0.19,0.13,0.00,0.2148
0.15,0.52,0.19,0.13,0.00,0.1978
0.15,0.52,0.19,0.13,0.00,0.1997
0.15,0.52,0.19,0.13,0.00,0.1979
0.15,0.52,0.19,0.13,0.00,0.1990
0.15,0.52,0.19,0.13,0.00,0.1822
0.14,0.53,0.19,0.14,0.00,0.1963
0.15,0.52,0.19,0.13,0.00,0.1986
0.15,0.52,0.19,0.13,0.00,0.1886
0.14,0.53,0.19,0.14,0.00,0.2066
0.14,0.53,0.19,0.14,0.00,0.2034
0.14,0.53,0.19,0.14,0.00,0.2082
0.14,0.53,0.19,0.14,0.00,0.1817
0.14,0.53,0.19,0.14,0.00,0.1976
0.14,0.53,0.19,0.14,0.00,0.2012
0.14,0.53,0.19,0.14,0.00,0.1975
0.14,0.53,0.19,0.14,0.00,0.2081
0.14,0.53,0.19,0.14,0.00,0.2050
0.14,0.53,0.19,0.14,0.00,0.1985
0.14,0.53,0.19,0.14,0.00,0.2089
0.14,0.53,0.19,0.14,0.00,0.1963
0.14,0.53,0.19,0.14,0.00,0.1903
0.14,0.53,0.19,0.14,0.00,0.1885
0.14,0.53,0.19,0.14,0.00,0.1963
0.14,0.53,0.19,0.14,0.00,0.2046
0.14,0.53,0.19,0.14,0.00,0.2124
0.14,0.53,0.19,0.14,0.00,0.1969
0.14,0.53,0.19,0.14,0.00,0.2042
0.14,0.53,0.19,0.14,0.00,0.2149
0.14,0.53,0.19,0.14,0.00,0.1928
0.14,0.53,0.19,0.14,0.00,0.1889
0.14,0.53,0.19,0.14,0.00,0.1897
0.14,0.53,0.19,0.14,0.00,0.2126
0.14,0.53,0.19,0.14,0.00,0.2023
0.14,0.53,0.19,0.14,0.00,0.2000
0.14,0.53,0.19,0.14,0.00,0.1971
0.14,0.53,0.19,0.14,0.00,0.2058
0.14,0.53,0.19,0.14,0.00,0.2139
0.14,0.53,0.19,0.14,0.00,0.2036
0.14,0.53,0.19,0.14,0.00,0.2040
0.14,0.53,0.19,0.14,0.00,0.2063
0.14,0.53,0.19,0.14,0.00,0.1973
0.14,0.53,0.19,0.14,0.00,0.2105
0.14,0.53,0.19,0.14,0.00,0.2155
0.14,0.53,0.19,0.14,0.00,0.1946
0.14,0.53,0.19,0.14,0.00,0.2044
0.14,0.53,0.19,0.14,0.00,0.1898
0.14,0.53,0.19,0.14,0.00,0.2027
0.14,0.53,0.19,0.14,0.00,0.1926
0.14,0.53,0.19,0.14,0.00,0.2001
0.14,0.53,0.19,0.14,0.00,0.2025
0.14,0.53,0.19,0.14,0.00,0.2020
0.14,0.53,0.19,0.14,0.00,0.1968
0.14,0.53,0.19,0.14,0.00,0.2032
0.14,0.53,0.19,0.14,0.00,0.2050
0.14,0.53,0.19,0.14,0.00,0.1929
0.14,0.53,0.19,0.14,0.00,0.2025
0.14,0.53,0.19,0.14,0.00,0.1972
0.14,0.53,0.19,0.14,0.00,0.2021
0.14,0.53,0.19,0.14,0.00,0.1966
0.14,0.53,0.19,0.14,0.00,0.2089
0.14,0.53,0.19,0.14,0.00,0.2044
0.14,0.53,0.19,0.14,0.00,0.1910
0.14,0.53,0.19,0.14,0.00,0.2095
0.14,0.53,0.19,0.14,0.00,0.2069
0.14,0.53,0.19,0.14,0.00,0.1996
0.14,0.53,0.19,0.14,0.00,0.2100
0.14,0.53,0.19,0.14,0.00,0.1910
0.14,0.53,0.19,0.14,0.00,0.2010
0.14,0.53,0.19,0.14,0.00,0.2083
0.14,0.53,0.19,0.14,0.00,0.2022
0.14,0.53,0.19,0.14,0.00,0.2012
0.14,0.53,0.19,0.14,0.00,0.2078
0.14,0.53,0.19,0.14,0.00,0.1859
0.14,0.53,0.19,0.14,0.00,0.2018
0.14,0.53,0.19,0.14,0.00,0.2030
0.14,0.53,0.19,0.14,0.00,0.1909
0.14,0.53,0.19,0.14,0.00,0.1947
0.14,0.53,0.19,0.14,0.00,0.2063
0.14,0.53,0.19,0.14,0.00,0.2109
0.14,0.53,0.19,0.14,0.00,0.2017
0.14,0.53,0.19,0.14,0.00,0.1935
0.14,0.53,0.19,0.14,0.00,0.1993
0.14,0.53,0.19,0.14,0.00,0.1891
0.14,0.53,0.19,0.14,0.00,0.1926
0.14,0.53,0.19,0.14,0.00,0.1939
0.14,0.53,0.19,0.14,0.00,0.1926
0.14,0.53,0.19,0.14,0.00,0.1978
0.14,0.53,0.19,0.14,0.00,0.2146
0.14,0.53,0.19,0.14,0.00,0.1980
0.14,0.53,0.19,0.14,0.00,0.2044
0.14,0.53,0.19,0.14,0.00,0.1972
0.14,0.53,0.19,0.14,0.00,0.1961
0.14,0.53,0.19,0.14,0.00,0.1963
0.14,0.53,0.19,0.14,0.00,0.1979
0.14,0.53,0.19,0.14,0.00,0.2017
0.14,0.53,0.19,0.14,0.00,0.2165
0.14,0.53,0.19,0.14,0.00,0.2061
0.14,0.53,0.19,0.14,0.00,0.2037
0.14,0.53,0.19,0.14,0.00,0.1804
0.14,0.53,0.19,0.14,0.00,0.2027
0.14,0.53,0.19,0.14,0.00,0.2053
0.14,0.53,0.19,0.14,0.00,0.2039
0.14,0.53,0.19,0.14,0.00,0.2015
0.14,0.53,0.19,0.14,0.00,0.2007
0.14,0.53,0.19,0.14,0.00,0.2058
0.14,0.53,0.19,0.14,0.00,0.2072
0.14,0.53,0.19,0.14,0.00,0.1982
0.14,0.53,0.19,0.14,0.00,0.2057
0.14,0.53,0.19,0.14,0.00,0.1882
0.14,0.53,0.19,0.14,0.00,0.2008
0.14,0.53,0.19,0.14,0.00,0.1894
0.14,0.53,0.19,0.14,0.00,0.2084
0.14,0.53,0.19,0.14,0.00,0.1933
0.14,0.53,0.19,0.14,0.00,0.2141
0.14,0.53,0.19,0.14,0.00,0.2010
0.14,0.53,0.19,0.14,0.00,0.1976
0.14,0.53,0.19,0.14,0.00,0.1891
0.14,0.53,0.19,0.14,0.00,0.1988
0.14,0.53,0.19,0.14,0.00,0.1912
0.14,0.53,0.19,0.14,0.00,0.1870
0.14,0.53,0.19,0.14,0.00,0.1948
0.14,0.53,0.19,0.14,0.00,0.1789
0.14,0.53,0.19,0.14,0.00,0.2023
0.14,0.53,0.19,0.14,0.00,0.1903
0.14,0.53,0.19,0.14,0.00,0.1903
0.14,0.53,0.19,0.14,0.00,0.1966
