# Ag,Au,Cu,Pd,Pt,active sites
0.0000,0.0000,0.5062,0.0563,0.4375,0.3396
0.3125,0.1125,0.1937,0.1812,0.2000,0.3001
-0.0000,-0.0000,0.5000,0.0562,0.4438,0.3446
-0.0000,-0.0000,0.5000,0.0562,0.4438,0.3465
-0.0000,-0.0000,0.5000,0.0562,0.4438,0.3410
-0.0000,-0.0000,0.3563,0.2250,0.4188,0.3383
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3499
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3427
-0.0000,0.7313,-0.0000,0.0000,0.2688,0.1747
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3397
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3436
0.0000,0.0000,0.4938,0.0687,0.4375,0.3427
0.2188,0.0000,0.0000,0.7812,0.0000,0.0044
0.0000,0.2188,0.0000,0.7812,0.0000,0.0042
0.2063,0.7937,0.0000,-0.0000,0.0000,0.0000
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3433
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3462
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3486
