Ag,Au,Cu,active sites (P_NO=1),active sites (P_NO=0.5)
0.15,0.05,0.80,0.004300,0.028300,0.232600
0.15,0.00,0.85,0.002900,0.019300,0.233400
0.10,0.90,0.00,0.000000,0.000000,0.000000
0.10,0.85,0.05,0.021000,0.036900,0.044700
0.10,0.80,0.10,0.044000,0.067500,0.081600
0.10,0.75,0.15,0.063700,0.095400,0.104600
0.10,0.70,0.20,0.060400,0.108300,0.126000
0.10,0.65,0.25,0.082000,0.120300,0.146700
0.10,0.60,0.30,0.085200,0.120700,0.147600
0.10,0.55,0.35,0.084500,0.137900,0.165200
0.10,0.50,0.40,0.079900,0.126600,0.166100
0.10,0.45,0.45,0.073300,0.112500,0.182600
0.10,0.40,0.50,0.061700,0.111500,0.188400
0.10,0.35,0.55,0.052800,0.101100,0.200000
0.10,0.30,0.60,0.037200,0.089100,0.197200
0.10,0.25,0.65,0.030400,0.076200,0.207700
0.10,0.20,0.70,0.017200,0.054800,0.224000
0.10,0.15,0.75,0.015300,0.032600,0.224100
0.10,0.10,0.80,0.005600,0.048600,0.225400
0.10,0.05,0.85,0.003300,0.016500,0.227500
0.10,0.00,0.90,0.000300,0.007600,0.226800
0.05,0.95,0.00,0.000000,0.000000,0.000000
0.05,0.90,0.05,0.016800,0.035900,0.041300
0.05,0.85,0.10,0.032600,0.063500,0.074700
0.05,0.80,0.15,0.058700,0.088700,0.104500
0.05,0.75,0.20,0.063800,0.098800,0.122100
0.05,0.70,0.25,0.081500,0.111400,0.143600
0.05,0.65,0.30,0.075500,0.111100,0.148800
0.05,0.60,0.35,0.080000,0.124900,0.164300
0.05,0.55,0.40,0.072500,0.118400,0.167300
0.05,0.50,0.45,0.075200,0.114600,0.175100
0.05,0.45,0.50,0.053200,0.094300,0.183600
0.05,0.40,0.55,0.043600,0.098800,0.184100
0.05,0.35,0.60,0.036500,0.063100,0.194800
0.05,0.30,0.65,0.029800,0.073100,0.208000
0.05,0.25,0.70,0.016400,0.041700,0.210000
0.05,0.20,0.75,0.010400,0.070700,0.221000
0.05,0.15,0.80,0.005400,0.023900,0.219200
0.05,0.10,0.85,0.005700,0.038100,0.234600
0.05,0.05,0.90,0.000000,0.014500,0.228600
0.05,0.00,0.95,0.000000,0.001200,0.199000
0.00,1.00,0.00,0.000000,0.000000,0.000000
0.00,0.95,0.05,0.017500,0.035900,0.040900
0.00,0.90,0.10,0.035700,0.063500,0.078900
0.00,0.85,0.15,0.042900,0.087800,0.105500
0.00,0.80,0.20,0.060400,0.097900,0.124600
0.00,0.75,0.25,0.071900,0.111400,0.137900
0.00,0.70,0.30,0.065800,0.120100,0.151000
0.00,0.65,0.35,0.072000,0.125500,0.169900
0.00,0.60,0.40,0.072600,0.118200,0.167700
0.00,0.55,0.45,0.064700,0.121300,0.178500
0.00,0.50,0.50,0.051800,0.091200,0.181900
0.00,0.45,0.55,0.042900,0.098600,0.180500
0.00,0.40,0.60,0.027100,0.079600,0.191600
0.00,0.35,0.65,0.030000,0.060500,0.200400
0.00,0.30,0.70,0.015600,0.053600,0.210400
0.00,0.25,0.75,0.010200,0.047900,0.215300
0.00,0.20,0.80,0.005100,0.033400,0.221800
0.00,0.15,0.85,0.004600,0.017500,0.234700
0.00,0.10,0.90,0.000900,0.011600,0.237600
0.00,0.05,0.95,0.000300,0.008100,0.214800
0.00,0.00,1.00,0.000000,0.001400,0.247100
