# Ag,Au,Cu,Pd,Pt,active sites
0.00,0.00,1.00,0.00,0.00,0.2624
0.00,0.00,1.00,0.00,0.00,0.2689
0.00,0.00,1.00,0.00,0.00,0.2591
0.00,0.00,1.00,0.00,0.00,0.2714
0.00,0.00,1.00,0.00,0.00,0.2741
0.00,0.00,1.00,0.00,0.00,0.2708
0.00,0.00,1.00,0.00,0.00,0.2628
0.00,0.00,1.00,0.00,0.00,0.2660
0.00,0.00,1.00,0.00,0.00,0.2587
0.00,0.00,1.00,0.00,0.00,0.2587
0.00,0.00,1.00,0.00,0.00,0.2565
0.00,0.00,1.00,0.00,0.00,0.2683
